"station_name","station_id","crop","year","area_ha","production_t","yield_tha"
"Luxor",1,"Irrigated wheat","2013",41970.8257907886,277619.597970903,6.4395133684716
"Luxor",1,"Irrigated wheat","2014",46154.5920338157,284899.255323596,6.35829341918587
"Luxor",1,"Irrigated wheat","2015",44219.8126446879,272776.094967855,6.23806748257766
"Luxor",1,"Irrigated wheat","2016",42729.1190019711,269333.330295599,6.26314834430975
"Luxor",1,"Irrigated wheat","2017",38386.1982387275,250007.875710625,6.51998249620709
"Luxor",1,"Irrigated wheat","2018",133507.194201321,270290.087608189,5.71509107495698
"Luxor",1,"Irrigated wheat","2019",42174.2066956299,276771.358838805,6.54339256051586
"Niledelta",818005001,"Irrigated wheat","2013",121970.862794668,836501.007729637,7.2046058262558
"Niledelta",818005001,"Irrigated wheat","2014",120468.425678981,813283.753156935,6.81956126762209
"Niledelta",818005001,"Irrigated wheat","2015",119422.834353312,823772.433688038,6.92982238637251
"Niledelta",818005001,"Irrigated wheat","2016",120658.689770396,822847.062908176,6.73242120952192
"Niledelta",818005001,"Irrigated wheat","2017",98391.9253527203,701627.020000071,7.17200893829867
"Niledelta",818005001,"Irrigated wheat","2018",136592.653923582,709934.93437873,6.06547262097538
"Niledelta",818005001,"Irrigated wheat","2019",107131.717602521,693570.753198374,6.52756920305857
