year,Governorates,variety,variable,Old Land,New Land,Tota,total,delta,mean
2013,Menia,Seds 1,Area_ha,5053.0199999999995,490.56,18662.28,5543.58,13118.699999999999,NA
2018,Alexandria,Giza 168,Area_ha,1649.34,4971.54,37533.333333333336,6620.88,30912.453333333335,NA
2018,Behera,Giza 168,Area_ha,8618.4,1241.52,55895.2380952381,9859.92,46035.3180952381,NA
2018,Dakahlia,Giza 168,Area_ha,3291.54,231,19969.04761904762,3522.54,16446.507619047617,NA
2018,Damietta,Giza 168,Area_ha,2365.86,947.9399999999999,18785.714285714286,3313.8,15471.914285714287,NA
2018,Sharkia,Giza 168,Area_ha,3801.42,900.9,26657.14285714286,4702.32,21954.82285714286,NA
2018,Ismailia,Giza 168,Area_ha,844.1999999999999,321.3,6607.142857142858,1165.5,5441.642857142858,NA
2018,Giza,Giza 168,Area_ha,1929.8999999999999,476.7,13642.857142857143,2406.6,11236.257142857143,NA
2018,Giza,Gemmeza 11,Area_ha,399.41999999999996,60.9,1823.22,460.31999999999994,1362.9,NA
2018,Assuit,Giza 168,Area_ha,5330.639999999999,862.68,35109.52380952381,6193.32,28916.20380952381,NA
2018,Assuit,Gemmeza 11,Area_ha,1265.04,113.82,1929.8999999999999,1378.86,551.04,NA
2018,Suhag,Giza 168,Area_ha,10934.279999999999,548.52,65095.2380952381,11482.8,53612.4380952381,NA
2018,Qena,Giza 168,Area_ha,15647.099999999999,8464.26,136685.7142857143,24111.36,112574.35428571429,NA
2018,Luxor,Giza 168,Area_ha,7551.5999999999995,8385.72,90347.61904761905,15937.32,74410.29904761905,NA
2018,Aswan,Giza 168,Area_ha,1560.72,8932.56,59485.71428571429,10493.279999999999,48992.43428571429,NA
2018,Giza,Gemmeza 11,Prod_ton,2548.0499999999997,388.2,12693.6,2936.2499999999995,9757.35,NA
2018,Assuit,Gemmeza 11,Prod_ton,7803.9,546.75,11722.8,8350.65,3372.1499999999996,NA
2013,Fayoum,Sakha 93,Yield_tonha,6.456470160447252,4.001398068124047,6.371703279825169,NA,1.1427691655395193,5.22893411428565
2013,Assuit,Beni Suef 1,Yield_tonha,7.5893940090454866,4.550354632186794,7.281643186072453,NA,1.211768865456313,6.06987432061614
2014,Suez,Sakha 93,Yield_tonha,6.849842146803473,3.4067717996289426,6.245932313699968,NA,1.1176253404837597,5.128306973216208
2014,Suez,Gemmeza 9,Yield_tonha,6.292857142857144,3.5714285714285716,6.279317697228145,NA,1.3471748400852874,4.932142857142858
2015,Suez,Gemmeza 9,Yield_tonha,6.964285714285714,4.642857142857143,6.9470046082949315,NA,1.1434331797235027,5.803571428571429
2015,Giza,Masr 2,Yield_tonha,7.949828227884341,4.285714285714286,7.785030758714969,NA,1.6672595019156553,6.117771256799314
2016,Giza,Masr 2,Yield_tonha,7.316017316017317,5,7.174796747967481,NA,1.0167880899588226,6.158008658008658
2018,Alexandria,Seds 12,Yield_tonha,6.189932097153304,0.08486585158770589,6.267065027856931,NA,3.129666053486426,3.137398974370505
2018,Kafr-Elsheikh,Seds 12,Yield_tonha,6.091586160357652,0.07596932419806914,6.0877741481605385,NA,3.003996405882678,3.0837777422778605
2018,Dakahlia,Seds 12,Yield_tonha,6.9821342254072265,0.08681692688499619,6.9299799962622775,NA,3.395504420116166,3.5344755761461113
2018,Giza,Seds 12,Yield_tonha,7.011133567350991,0.08572662367572548,6.900772438909775,NA,3.352342343396417,3.5484300955133583
2018,Beni Suef,Seds 12,Yield_tonha,6.607390832968098,0.0836989318166054,6.581338981664451,NA,3.2357940992720993,3.3455448823923515
2018,Menia,Seds 12,Yield_tonha,7.188327972116698,0.07799807096689902,6.709617740749817,NA,3.076454719208018,3.6331630215417987
2018,Assuit,Seds 12,Yield_tonha,6.354180710979282,0.06543150790888347,6.204069051444973,NA,2.9942629420008906,3.2098061094440826
2018,Suhag,Seds 12,Yield_tonha,6.201661143865387,0.074053520435481,6.153276253813091,NA,3.0154189216626577,3.1378573321504337
2018,Qena,Seds 12,Yield_tonha,6.531140269820735,0.08234019501625135,6.40316802248274,NA,3.0964277900642467,3.3067402324184934
2018,Aswan,Seds 12,Yield_tonha,6.516071428571429,0.08559294871794873,6.368191964285715,NA,3.067359775641026,3.300832188644689
2018,New valley,Seds 12,Yield_tonha,NA,0.07357955757498187,5.465909991284368,NA,5.392330433709386,0.07357955757498187
