,DVS,LAIMAX,TAGP,TWSO,TWLV,TWST,TWRT,CTRAT,RD,DOS,DOE,DOA,DOM,DOH,DOV,CEVST,year,crop,site
0,2.0,7.373147234887932,15041.997682709025,8623.940366089915,2346.9534145913785,4071.103902027732,3949.877196845605,34.849790588044705,100.0,2009-11-15,2009-11-20,2010-03-03,2010-05-04,,,2.2057166835832342,2009,wheat,NileDelta
0,2.0,6.328263038299842,10558.015299326238,6352.0543802312895,1203.0639401927226,3002.8969789022262,2757.0140869946454,29.47154327607628,100.0,2009-11-15,2009-11-21,2010-02-01,2010-03-21,,,0.6787595927775121,2009,wheat,UpperEgypt
0,2.0,7.427062090957454,16246.550221422307,9399.744142510348,2345.991239879233,4500.814839032726,3916.278899742815,33.321324041388486,100.0,2010-11-15,2010-11-20,2011-03-04,2011-05-09,,,2.874681886048209,2010,wheat,NileDelta
0,2.0,6.018830130967392,12322.837895518123,8063.772177766578,853.663336226139,3405.402381525406,2291.8155224686093,29.18456151691414,100.0,2010-11-15,2010-11-19,2011-01-28,2011-03-26,,,0.9259407292380961,2010,wheat,UpperEgypt
0,2.0,8.04541408328996,17983.507727069504,9194.50515378377,3554.41077509049,5234.5917981952425,5143.102558155955,40.54460340258362,100.0,2011-11-15,2011-11-21,2012-03-20,2012-05-19,,,3.000374621604876,2011,wheat,NileDelta
0,2.0,7.532323267530789,14654.623438523311,8782.48649903282,2218.9483930548477,3653.1885464356437,3873.9703162731603,38.56525711114946,100.0,2011-11-15,2011-11-22,2012-02-15,2012-04-10,,,0.6162106192688054,2011,wheat,UpperEgypt
0,2.0,7.643555278680259,15898.554795561457,8788.164659550099,2653.8262974661766,4456.56383854518,4234.964415684304,35.62866083480596,100.0,2012-11-15,2012-11-20,2013-03-09,2013-05-09,,,3.496997962117156,2012,wheat,NileDelta
0,2.0,6.691143606506623,12407.111132244376,7539.176696601742,1474.3171975475598,3393.617238095074,3025.4960788316057,33.3985331599762,100.0,2012-11-15,2012-11-20,2013-02-05,2013-03-29,,,0.6669787136644121,2012,wheat,UpperEgypt
0,2.0,7.41451272936724,15704.734556259602,9083.011297362988,2309.4453841754903,4312.277874721123,3804.1829028188104,32.79712955737201,100.0,2013-11-15,2013-11-20,2014-03-08,2014-05-09,,,2.612215823813537,2013,wheat,NileDelta
0,2.0,6.316656552001311,12070.0265482246,7757.264080195712,1093.3528654739819,3219.409602554906,2614.403276317564,30.29746155820789,100.0,2013-11-15,2013-11-21,2014-02-01,2014-03-28,,,0.8801310725696831,2013,wheat,UpperEgypt
0,2.0,7.419141524548496,16277.655723216158,9469.500597177479,2394.3784701333325,4413.776655905345,3898.9284734016087,33.57165533308864,100.0,2014-11-15,2014-11-20,2015-03-11,2015-05-15,,,3.8016328141426534,2014,wheat,NileDelta
0,2.0,6.6721717260477265,12702.086645158746,7974.644691957358,1364.4494873742701,3362.9924658271166,2864.2759047328645,32.726038916960086,100.0,2014-11-15,2014-11-20,2015-02-03,2015-03-29,,,0.6734890307279848,2014,wheat,UpperEgypt
0,2.0,7.403613006264189,15074.916670683728,8506.127386053631,2357.6910249359025,4211.098259694193,3815.0243033100687,32.94251710859595,100.0,2015-11-15,2015-11-20,2016-03-07,2016-05-06,,,3.8440813925385586,2015,wheat,NileDelta
0,2.0,7.033059771312101,12630.107289452004,7074.213425825776,1725.2982153905277,3830.5956482357005,3207.8300261368995,34.28582010320092,100.0,2015-11-15,2015-11-20,2016-02-09,2016-03-30,,,0.657767319375035,2015,wheat,UpperEgypt
0,2.0,7.833575917635345,17134.97446697567,9155.081482723037,3046.1853106505855,4933.707673602044,4563.374374057382,35.37239368707498,100.0,2016-11-15,2016-11-20,2017-03-17,2017-05-17,,,5.567886326536826,2016,wheat,NileDelta
0,2.0,6.856326420308604,14141.393948080722,8984.557215749517,1501.1062089090399,3655.730523422165,3099.994595541477,34.466459324591035,100.0,2016-11-15,2016-11-20,2017-02-06,2017-04-05,,,0.6790303874535082,2016,wheat,UpperEgypt
0,2.0,7.161011654559556,14202.662667254306,8178.937471547788,2040.660513362744,3983.0646823437746,3533.7436395236255,30.84241392975169,100.0,2017-11-15,2017-11-20,2018-03-06,2018-05-04,,,3.752401976856195,2017,wheat,NileDelta
0,2.0,6.456789788764661,11204.418251082143,6323.044167833352,1257.2444319479541,3624.1296513008374,2632.7545211248034,30.17779538578939,100.0,2017-11-15,2017-11-20,2018-02-03,2018-03-22,,,0.7053378471430178,2017,wheat,UpperEgypt
